name,start,stop
b,28002.5,28002.593333333334
c,28002.626666666667,28002.74
i,28207.673333333336,28207.70666666667
i,28207.88,28207.920000000002
i,28208.04666666667,28208.08
i,28208.38,28208.420000000002
i,28208.533333333336,28208.573333333334
i,28208.68666666667,28208.72
a,28208.786666666667,28208.90666666667
b,28208.973333333335,28209.02
c,28209.10666666667,28209.22
i,28211.353333333336,28211.393333333333
i,28211.480000000003,28211.513333333336
i,28211.613333333335,28211.646666666667
a,28211.92666666667,28212.04
b,28212.120000000003,28212.213333333337
c,28212.24,28212.36
i,29096.800000000003,29096.84
i,29097.413333333334,29097.453333333335
i,29097.573333333334,29097.613333333335
i,29097.72666666667,29097.76666666667
i,29097.9,29097.940000000002
a,29098.04666666667,29098.173333333336
b,29098.24666666667,29098.293333333335
c,29098.373333333337,29098.486666666668
i,29098.793333333335,29098.833333333336
i,29098.953333333335,29098.993333333336
a,29099.140000000003,29099.260000000002
b,29099.34,29099.393333333333
c,29099.466666666667,29099.58666666667
i,30327.600000000002,30327.640000000003
i,30604.953333333335,30604.993333333336
i,30605.100000000002,30605.140000000003
i,30605.306666666667,30605.353333333336
i,30605.473333333335,30605.513333333336
i,30605.640000000003,30605.68666666667
i,30605.833333333336,30605.873333333337
a,30606.006666666668,30606.140000000003
b,30606.20666666667,30606.26666666667
i,30976.806666666667,30976.840000000004
i,30979.42666666667,30979.460000000003
i,30994.933333333334,30994.966666666667
i,31029.54,31029.58
i,31091.68,31091.713333333337
i,31486.7,31486.733333333334
i,31486.826666666668,31486.86666666667
i,31486.94666666667,31486.986666666668
i,31487.093333333334,31487.133333333335
i,31487.160000000003,31487.193333333336
i,31487.213333333337,31487.253333333334
i,31487.273333333334,31487.313333333335
i,31487.333333333336,31487.413333333334
i,31487.440000000002,31487.480000000003
a,31487.54,31487.68666666667
b,31487.74,31487.833333333336
c,31487.86,31487.980000000003
d,31488.053333333337,31488.160000000003
a,31488.28666666667,31488.413333333334
b,31488.480000000003,31488.533333333336
c,31488.60666666667,31488.72
i,31489.100000000002,31489.140000000003
a,31489.26666666667,31489.4
b,31489.460000000003,31489.513333333336
c,31489.58666666667,31489.7
i,31596.433333333334,31596.480000000003
i,31596.600000000002,31596.640000000003
i,31596.733333333334,31596.773333333334
i,31596.88,31596.920000000002
i,31597.06,31597.100000000002
i,31597.18666666667,31597.22
a,31597.280000000002,31597.420000000002
b,31597.486666666668,31597.573333333334
c,31597.60666666667,31597.72
d,31597.793333333335,31597.9
a,31598.02,31598.153333333335
b,31598.22,31598.273333333334
c,31598.353333333336,31598.460000000003
i,31714.24,31714.280000000002
i,31734.420000000002,31734.460000000003
i,31734.480000000003,31734.56
i,31734.58,31734.620000000003
i,31734.646666666667,31734.780000000002
i,31734.806666666667,31734.840000000004
i,31734.86666666667,31734.90666666667
a,31734.980000000003,31735.120000000003
b,31735.18,31735.24
c,31735.313333333335,31735.42666666667
d,31735.506666666668,31735.620000000003
a,31735.74,31735.86
b,31735.940000000002,31735.993333333336
c,31736.06666666667,31736.18
i,31763.613333333335,31763.646666666667
i,31788.70666666667,31788.74
i,31810.42666666667,31810.466666666667
i,31810.713333333337,31810.753333333334
i,31810.953333333335,31810.993333333336
i,31811.100000000002,31811.140000000003
i,31811.26666666667,31811.313333333335
i,31811.453333333335,31811.493333333336
a,31811.633333333335,31811.76666666667
b,31811.833333333336,31811.893333333337
c,31811.960000000003,31812.073333333334
i,31841.893333333337,31841.92666666667
i,32127.013333333336,32127.04666666667
i,32128.133333333335,32128.18
i,32128.28666666667,32128.326666666668
i,32128.420000000002,32128.466666666667
i,32128.56,32128.600000000002
i,32128.713333333337,32128.760000000002
i,32128.833333333336,32128.88
a,32129.02666666667,32129.153333333335
b,32129.22,32129.273333333334
c,32129.346666666668,32129.460000000003
d,32129.54666666667,32129.653333333335
i,32129.68666666667,32129.72
a,32129.780000000002,32129.9
b,32129.980000000003,32130.033333333336
c,32130.113333333335,32130.22666666667
d,32130.326666666668,32130.440000000002
a,32130.56666666667,32130.70666666667
b,32130.76666666667,32130.820000000003
c,32130.9,32131.013333333336
i,32131.273333333334,32131.313333333335
a,32131.453333333335,32131.58
b,32131.646666666667,32131.693333333336
c,32131.773333333334,32131.88666666667
i,32132.326666666668,32132.36
a,32132.52,32132.660000000003
b,32132.72,32132.773333333334
c,32132.853333333336,32132.966666666667
d,32133.06666666667,32133.173333333336
i,32133.213333333337,32133.24666666667
a,32133.306666666667,32133.433333333334
b,32133.506666666668,32133.553333333337
c,32133.640000000003,32133.74666666667
i,32134.20666666667,32134.24666666667
i,32134.36,32134.393333333337
a,32134.44666666667,32134.58
b,32134.640000000003,32134.693333333336
c,32134.76666666667,32134.88666666667
i,32419.466666666667,32419.500000000004
i,32419.633333333335,32419.666666666668
i,32419.78666666667,32419.826666666668
i,32419.92666666667,32419.960000000003
i,32420.06,32420.100000000002
i,32420.20666666667,32420.24666666667
a,32420.393333333337,32420.52666666667
b,32420.593333333334,32420.640000000003
c,32420.713333333337,32420.826666666668
i,32421.24,32421.273333333334
i,32421.353333333336,32421.38666666667
a,32421.52,32421.653333333335
b,32421.72,32421.78666666667
c,32421.853333333336,32421.966666666667
d,32422.04666666667,32422.160000000003
i,32422.18666666667,32422.22
a,32422.28666666667,32422.42666666667
b,32422.486666666668,32422.533333333336
c,32422.620000000003,32422.72666666667
i,32422.986666666668,32423.02666666667
a,32423.173333333336,32423.28666666667
b,32423.36666666667,32423.42666666667
c,32423.493333333336,32423.613333333335
d,32423.70666666667,32423.813333333335
a,32423.94666666667,32424.04666666667
i,32432.013333333336,32432.053333333337
i,32432.173333333336,32432.20666666667
i,32432.320000000003,32432.353333333336
a,32432.52,32432.620000000003
b,32432.70666666667,32432.76666666667
c,32432.846666666668,32432.960000000003
d,32433.053333333337,32433.166666666668
a,32433.293333333335,32433.420000000002
b,32433.513333333336,32433.553333333337
c,32433.633333333335,32433.74
i,32473.28666666667,32473.326666666668
i,32473.600000000002,32473.640000000003
i,32473.873333333337,32473.920000000002
i,32474.06,32474.100000000002
i,32474.2,32474.233333333337
a,32474.313333333335,32474.42666666667
b,32474.513333333336,32474.56666666667
c,32474.640000000003,32474.753333333334
i,32553.24,32553.273333333334
i,32554.000000000004,32554.033333333336
